Year,Call Sign,Network Affiliation,Nielsen DMA,Ave. # of Analog hours,Analog or Digital,Title of EI programs,Core or Non-core,Origin of Program,Regular schedule of Program,Total times aired,Number of pre-emptions,Length of Program (in minutes),Age of Target Audience From,Age of Target Audience To,Description of Program,Number of pre-emptions rescheduled,Ave. # of hours of all digital programming per week,Ave. # of hours per week of digital Core Programming per week,Y or N to Q 11 in Digital Core Programming: At least 50% of the Core Programming had not already aired within the previous seven days,
2003,WCVB-TV,ABC,Boston,4,analog,LILO & STITCH: THE SERIES,core,network,Saturdays 8:00-8:30 AM ET,13,0,30,7,16,"Lilo, a precocious girl of about five, and her alien pet Stitch live with Lilo's sister Nani. Nani is trying to keep their little family together after the tragic death of their parents in an automobile accident. Although still a teen herself, Nani works several jobs and struggles to be an adult role model for Lilo. Two alien characters, Jumba and Pleakley, who arrived on planet Earth at the same time as Stitch, live with Nani and Lilo while pretending to be their aunt and uncle. This ploy is intended to convince the Department of Social Services that the household is well managed and there is no need for foster-care placement for Lilo. Series episodes illustrate developmentally appropriate issues, among which are peer pressure, coping with bereavement, family and school rules and problem solving. Stories convey messages about truthfulness, responsibility, acceptance and trust. The series includes Hawaiian language, music, dance and custom, exposing our broad ABC audience to the richness of Pacific Rim culture.",99,n/a,n/a,n/a,
2003,WCVB-TV,ABC,Boston,4,analog,DISNEY'S RECESS,core,network,Saturdays 8:30-9:00am,13,0,30,8,12,"Disney's Recess is a collection of stories about six fourth-grade children who attend public school. These children are an ethnically diverse and gender diverse group. Their experiences at Third Street school deliver messages about problems common to middle childhood: conflicts with authority figures, school and family rules, issues of fairness, peer pressure and coping with disappointment. A number of episodes revolve around class bullies or conflicts with teachers’ favored students. Series episodes provide opportunities for parent/child discussions about values.",99,n/a,n/a,n/a,
2003,WCVB-TV,ABC,Boston,4,analog,DISNEY'S FILLMORE,core,network,"Saturdays, 9:00-9:30am",13,0,30,9,12,"Fillmore is a detective series that takes place in a middle school. The stars of the stories are the members of X Middle School's Safety Patrol, a multi-ethnic group of youth who wear the orange sash and badge of peer authority. They investigate and foil misdeeds in the school setting. Cornelius Fillmore, a boy with a history of disciplinary problems, upon entering X Middle School, is resolved to change his ways. Joining the Safety Patrol, he focuses keen problem-solving skills and physical prowess in the service of order and fairness. His Safety Patrol partner, the brilliant Ingrid Third, also had disciplinary problems while she attended a number of schools. Ingrid and Fillmore work to detect clues about perpetrators of school mischief such as bullying, cheating, theft, graffiti, scams, and prejudicial behavior. Series episodes illustrate developmentally appropriate issues, such as competition and peer pressure, coping with change, improving relationships with teachers and administrators, and dealing with family rules. Within the mystery plots are woven messages about honor, conscience and trust.",99,n/a,n/a,n/a,
2003,WCVB-TV,ABC,Boston,4,analog,THE PROUD FAMILY,core,network,Saturdays 9:30-10:00am,13,0,30,10,13,"The Proud Family follows the daily activities of fourteen-year-old Penny Proud and her African-American family consisting of parents Trudy Proud (a veterinarian) and Oscar Proud (self-employed businessman), a no-nonsense Grandmother Suga Mama who resides with family, and twin sisters BeBe and CeCe. Penny's friends are Dijonay and Sticky, and the neighboring Boulevardez family, whose daughter, La Cienega, is Penny's rival. Teachers and classmates also populate the stories. The majority of the characters in this children's series are ethnic minorities. Penny faces the struggles of adolescence along with the challenge of balancing academic life (middle school) and home obligations. Series episodes explore issues particularly relevant to 10 to 13 year olds: maintaining social relationships, overcoming self-doubt, standing up for one's beliefs, dealing with peer pressure, relating to authority and rules, assuming responsibility, appreciating differences (gender, race, and generational), maintaining loyalty to family, and cultivating values such as honesty and persistence.",99,n/a,n/a,n/a,
2003,WCVB-TV,ABC,Boston,4,analog,LIZZIE MCGUIRE,core,network,Saturdays 10:00-10:30am,13,0,30,9,12,"Lizzie McGuire is the story of an ingenious twelve-year-old girl who attends an ethnically diverse middle school. Her best friends are Miranda, a feisty Hispanic girl, and a boy named Gordo. Lizzie has a gifted younger brother who is frequently the source of conflict. Their parents handle their children's crises with humor and affection. Stories are realistic, revolving around school issues, rules, peer pressure, the struggle to find a comfortable identity, trust, facing one's mistakes, and the emotional ups and downs of pre-adolescence. Particular strengths of this series are its believability and the creation of a live action series that features a strong, positive girl in the lead role.",99,n/a,n/a,n/a,
2003,WCVB-TV,ABC,Boston,4,analog,THAT'S SO RAVEN,core,network,Saturdays 10:30-11:00amET,13,0,30,10,13,"Raven, a young teen who has inherited her grandmother's trait of clairvoyance, is a normal, happy and resourceful young woman. However, at times Raven worries that she is a freak because of her clairvoyant abilities. She has a younger brother, Cory, age ten. They are typical siblings, with the tension and rivalry that most siblings experience. Raven attends public high school. Both parents are employed outside the home. They are loving parents, and good disciplinarians. Raven is often responsible for the after-school safety and activities of her brother, Cory. Her closest friends are Chelsea and Eddie, who are fiercely committed to environmental issues and sports, respectively. Raven's parents and closest friends know about her visions of the immediate future. The premonitions often prompt her to attempt to intervene before trouble occurs. Sometimes Raven's interventions backfire, and at other times the foreseen events come true, bringing embarrassment or sadness. Raven learns valuable lessons from her blunders and transgressions. Thus, the visions set up issues that the core episodes of this series explore. The series uses humor to convey strong, relevant messages about growing up. Some of the issues that are the focus of episodes are sibling rivalry, popularity, loyalty, self-acceptance, dealing with authority (school and parental), honesty, coping with jealousy, and consequences of lying or cheating.",99,n/a,n/a,n/a,
2003,WCVB-TV,ABC,Boston,4,analog,REAL LIFE,non-core,syndicated,Saturdays 6:30-7:00am,13,0,30,13,16,"In ""Real Life 101"" kid reporters visit real-life jobs and careers and present them in an energetic, informative and educational format. In 1999 a study by the Annenberg Public Policy Center of the University of Pennsylvania found ""Real Life 101"" to be a highly educational offering for children.",99,n/a,n/a,n/a,
2003,WCVB-TV,ABC,Boston,4,analog,HIGH 5 SALUTES THANKSGIVING DAY HEROES,non-core,local,"Thursday, November 27; 7:30-8:00pm",1,0,30,13,16,High 5 Salutes Thanksgiving Day Heroes features the highlights and final scores of Thanksgiving Day's high school football match-ups. SportsCenter 5 anchor Mike Lynch hosts the live football special spotlighting several fo the key high school rivalries in Eastern and Central Massachusetts.,99,n/a,n/a,n/a,
2003,WCVB-TV,ABC,Boston,4,analog,CHRONICLE HOLIDAY LIGHTS,non-core,local,"Thursday, December 4; 7:00-8:00pm",1,0,60,13,16,Ted Reinstein hosts the Boston Common Tree Lighting live from the Boston Common. The program also highlights holiday activities and events happening around New England.,99,n/a,n/a,n/a,
2003,WDPX,PAX  TV,Boston,3,analog,MIRACLE PETS,core,network,Wednesdays / October 1st - December 31st / 3:00 p.m. ET,14,0,60,13,16,"Miracle Pets is a one-hour live-action program. This show is designed to meet the educational and informational needs of children between the ages of 13 and 16. Each episode explores different short re-enactments of pets/animals doing heroic, extraordinary actions. Children learn positive role models, pro-social values and the importance of taking care of the pets in their lives.",99,n/a,n/a,n/a,
