Year,Call Sign,Network Affiliation,Nielsen DMA,Ave. # of Analog hours,Analog or Digital,Title of EI programs,Core or Non-core,Origin of Program,Regular schedule of Program,Total times aired,Number of pre-emptions,Length of Program (in minutes),Age of Target Audience From,Age of Target Audience To,Description of Program,Number of pre-emptions rescheduled,Ave. # of hours of all digital programming per week,Ave. # of hours per week of digital Core Programming per week,Y or N to Q 11 in Digital Core Programming: At least 50% of the Core Programming had not already aired within the previous seven days
2005,WWJ,CBS,DETROIT,3,ANALOG,LITTLE BILL,CORE,NETWORK,SUN 7:00-7:30 AM,13,0,30,2,11,"THIS SERIES REFLECTS WISDOM, OUTLOOK AND HUMOR OF CREATOR BILL COSBY. THE SHOW IS DESIGNED TO HELP KIDS CELEBRATE THEIR EVERYDAY EXPERIENCES AND THE PEOPLE IN THE WORLD. BY DEALING WITH CONFLICTS IN EVERYDAY LIFE, THE PROGRAM ENCOURAGES CHILDREN TO VALUE THE LOVE OF THEIR FAMILY, TO INCREASE SELF-ESTEEM, AND TO DEVELOP SOCIAL SKILLS.",99,N/A,N/A,N/A
2005,WWJ,CBS,DETROIT,3,ANALOG,BLUE'S CLUES,CORE,NETWORK,SUN 7:30-8:00 AM,13,0,30,2,5,"IN THIS SERIES, A YOUNG ADULT HOST - TOGETHER WITH BLUE, A PUPPY WHOSE PERSONALITY AND ACTIONS MIRROR THOSE OF PRESCHOOLERS BRINGS VIEWERS A VARIETY OF GAMES, THEMES AND CONCEPTS THAT ARE BASED ON AN AGE-APPROPRIATE EDUCATIONAL CURRICULUM. THE PROGRAM FOLLOWS A NARRATIVE FORMAT IN WHICH THE HOST INVITES THE VIEWER TO ANSWER QUESTIONS TO HELP MOVE THE ACTION FORWARD. THE PROGRAM'S OBJECTIVES INCLUDE ENCOURAGING PRESCHOOLERS TO ACTIVELY EXPLORE THE WORLD AROUND THEM, FOSTERING THEIR PROBLEM SOLVING SKILLS AND INDEPENDENT REASONING AND CREATING A FOUNDATION OF CONFIDENCE AND OPTIMISM FOR FUTURE LEARNING.",99,N/A,N/A,N/A
2005,WXYZ-TV,ABC,DETROIT,3.5,ANALOG,LILO & STITCH: THE SERIES,CORE,NETWORK,SAT 9:00-9:30 AM,14,0,30,7,10,"Lilo, a precocious girl of about five, and her alien pet “Stitch” live with Lilo’s sister Nani. Nani is trying to keep their little family together after the tragic death of their parents in an automobile accident. Although still a teen herself, Nani works several jobs and struggles to be an adult role model for Lilo. Two alien characters, Jumba and Pleakley, who arrived on planet Earth at the same time as Stitch, live with Nani and Lilo while pretending to be their aunt and uncle. This ploy is intended to convince the Department of Social Services that the household is well managed and there is no need for foster-care placement for Lilo. Series episodes illustrate developmentally appropriate issues, among which are peer pressure, coping with bereavement, family and school rules and problem solving. Stories convey messages about truthfulness, responsibility, acceptance and trust. The series includes Hawaiian language, music, dance and custom, exposing our broad ABC audience to the richness of Pacific Rim culture.",99,N/A,N/A,N/A
2005,WXYZ-TV,ABC,DETROIT,3.5,ANALOG,THE BUZZ ON MAGGIE,CORE,NETWORK,SAT 9:30-10:00 AM,14,0,30,10,12,"Episodes of “the Buzz on Maggie” take place in a fanciful world in which all characters are insects. Maggie is a young fly who is proud of her individuality, especially her musical talent. She plays acoustical guitar, aspires to be a rock musician, has dyed her hair pink, and dresses in bold and colorful outfits. She is apt to rush into action without thinking. Maggie makes huge mistakes, but her heart is true. Maggie has an extremely athletic, good-looking but conceited older brother, as well as two younger siblings, Pupert and baby Bella, for whom she is often responsible. Pupert is sweet and a bit timid, in contrast with Maggie’s natural bravado. Episodes of “The Buzz on Maggie” explore topical issues such as sibling rivalry, family rules and values, allowances and vacation plans, friendship, honesty, school and community.",99,N/A,N/A,N/A
2005,WXYZ-TV,ABC,DETROIT,3.5,ANALOG,THE PROUD FAMILY,CORE,NETWORK,SAT 10:00-10:30 AM,14,0,30,10,13,"“The Proud Family” revolves around the daily activities of fourteen-year-old Penny Proud and her African-American family consisting of parents Trudy Proud (a veterinarian) and Oscar Proud (self-employed businessman), a no-nonsense Grandmother Suga Mama who resides with the family, twin sisters BeBe and CeCe; Penny’s friends Dijonay and Sticky, and the neighboring Boulevardez family, whose daughter, La Cienega, is Penny’s rival. Teachers and classmates also populate the stories. The majority of the characters in this children’s series are ethnic minorities. Penny faces the struggles of adolescence along with the challenge of balancing academic life (middle school) and home obligations. Series episodes explore issues particularly relevant to 10 to 13 year olds: maintaining social relationships, overcoming self-doubt, standing up for one’s beliefs, dealing with peer pressure, relating to authority and rules, assuming responsibility, appreciating differences (gender, race, and generational), maintaining loyalty to family, and cultivating values such as honesty and persistence.",99,N/A,N/A,N/A
2005,WXYZ-TV,ABC,DETROIT,3.5,ANALOG,THAT'S SO RAVEN,CORE,NETWORK,SAT 10:30-11:00 AM,14,0,30,10,13,"Raven, a young teen who has inherited her grandmother’s trait of clairvoyance, is a normal, happy and resourceful young woman. However, at times Raven worries that she is a “freak” because of her clairvoyant abilities. She has a younger brother, Cory, age ten. They are typical siblings, with the tension and rivalry that most siblings experience. Raven attends public high school. Both parents are employed outside the home. They are loving parents, and good disciplinarians. Raven is often responsible for the after-school safety and activities of her brother, Cory. Her closest friends are Chelsea and Eddie, who are fiercely committed to environmental issues and sports, respectively. Raven’s parents and closest friends know about her “visions” of the immediate future. The premonitions often prompt her to attempt to intervene before trouble occurs. Sometimes Raven’s interventions backfire, and at other times the foreseen events come true, bringing embarrassment or sadness. Raven learns valuable lessons from her blunders and transgressions. Thus, the “visions” set up issues that the Core episodes of this series explore. The series uses humor to convey strong, relevant messages about growing up. Some of the issues that are the focus of episodes are sibling rivalry, popularity, loyalty, self-acceptance, dealing with authority (school and parental), honesty, coping with jealousy, and consequences of lying or cheating.",99,N/A,N/A,N/A
2005,WXYZ-TV,ABC,DETROIT,3.5,ANALOG,THE SUITE LIFE OF ZACK AND CODY,CORE,NETWORK,SAT 11:00-11:30 AM,14,0,30,11,13,"Those episodes of “The Suite Life of Zack and Cody” that air on ABC as Core Programming address concerns close to the hearts of older children and tweens and deliver life lessons tailored for that audience. Our stories take place in a luxury hotel in Boston, where twelve-year-old identical twins Zack and Cody live with their divorced mom, a lounge singer for the Tipton Hotel. The boys attend the local public middle school and are in the same class. One of the twins is polite and shy and excels in academics, while the other, an athlete and extrovert, barely scrapes by in school, due to disinterest and lack of effort, and instead often instigates wacky plans for outwitting hotel authorities, caregivers, and their mother. The boy's mother dates and would like to remarry. Their father is a professional rock musician who is on the road much of the year, but who stays in touch with his boys. This sets up occasional parental “conflicts” about discipline and expectations. Parallel stories involve two teenage girls: heiress London Tipton, whose father owns the hotel, and Maddie, the girl who works after school at the hotel snack bar. Unlike London, Maddie attends a parochial girls’ school and comes from a working class family. Both Zack and Cody have crushes on Maddie, who is four years older than they. Series episodes explore sibling rivalry, conflicts with parents, divorce, household and hotel rules, family income limitations, responsibility, self-esteem, and peer pressure.",99,N/A,N/A,N/A
2005,WXYZ-TV,ABC,DETROIT,3.5,ANALOG,PHIL OF THE FUTURE,CORE,NETWORK,SAT 11:30-12:00 PM,8,6,30,10,12,"“Phil of the Future” is the story of a teenage boy, Phil Diffy, his younger sister, Pim, and their parents, who find themselves living in the 21st century when their time travel vehicle malfunctions in flight. While their goal is to repair the time travel vehicle and return to their home in the 22nd century, for the time being they must conceal their identities, their futuristic traits and their gadgets to “blend in” with the locals. The Diffys enroll Phil and Pim in public school, where Phil excels in higher math and Pim, who is a rebel by nature, must learn to live by middle school rules. The series conveys relevant messages about growing up. Some of the issues that are explored in this series are sibling rivalry, responsibility, dealing with authority (parent/child and teacher/student conflicts), peer pressure, self-acceptance, loyalty, and honesty.",6,N/A,N/A,N/A
2005,WXYZ-TV,ABC,DETROIT,3.5,ANALOG,JACK HANNA'S ANIMAL ADVENTURES,CORE,SYNDICATED,SAT 7:30-8:00 AM,14,1,30,13,16,"In each episode the cameras follow Jack as he spends time with nature's creatures across the continents. Jack talks with people that are knowledgeable about each animal and habitat, teaching as he goes. Each episode is designed to reveal to children the world around them in a way that presents positive role models and pro-social values within an environmentally responsible universe.",1,N/A,N/A,N/A
2005,WXYZ-TV,ABC,DETROIT,3.5,ANALOG,JACK HANNA'S ANIMAL ADVENTURES,CORE,SYNDICATED,SAT 7:00-7:30 AM,6,0,30,13,16,"In each episode the cameras follow Jack as he spends time with nature's creatures across the continents. Jack talks with people that are knowledgeable about each animal and habitat, teching as he goes. Each episode is designed to reveal to children the world around them in a way that presents positive role models and pro-social values within an environmentally responsible universe.",99,N/A,N/A,N/A
2005,W33BY,N/A,DETROIT,4,ANALOG,KEYS KIDS,CORE,LOCAL,MON-FRI 8:30-9:00 AM,65,0,30,3,16,"KEYS KIDS TEACHES CHILDREN THE VALUE OF POSITIVE AWARENESS OF HEALTH, DRUG PREVENTION, AND SOCIAL DEVELOPMENT.",99,N/A,N/A,N/A
2005,W33BY,N/A,DETROIT,4,ANALOG,MAKING IT HAPPEN,CORE,LOCAL,SAT 4:00-5:00 PM,13,0,60,5,16,MAKING IT HAPPEN TEACHILDREN COMMUNICATION SKILLS,99,N/A,N/A,N/A
2005,W33BY,N/A,DETROIT,4,ANALOG,DR. ELON-ELONI,CORE,LOCAL,FRI 6:00-7:00 PM,13,0,60,13,18,"FLICS 2000 EXPANDS CHILDRENS' AWARENESS OF A GLOBAL SOCIETY-CULTURALLY AND VIA DIFFERENT LANGUAGES. DR. ELON-ELONI GIVES TEENS THE OPPORTUNITY TO FOSTER A CAREER IN PRODUCTION THROUGH TRAINING, SUBJECT RESEARCH, AND INTERVIEW TECHNIQUES.",99,N/A,N/A,N/A
2005,WDWB,WB,DETROIT,4.5,ANALOG,SABRINA- THE ANIMATED SERIES,CORE,SYNDICATED,"MON, TUES, WED 7:00-7:30 AM",39,0,30,7,12,"Young Sabrina's lessons in how to be a good witch are demanding, but they pale in comparison to what she must learn in order to be loyal, honest, tolerant, to persevere, show self-efficacy and be independent. Each week Sabrina struggles to understand and master her human side, she serves as an ideal role model for the 7 to 12 year old audience because she is positive, self-reliant, competent and open to new ideas. Sabrina listens, learns and does whatever it takes to reinforce the lesson for others. Assistance and guidance from her family and friends helps both Sabrina and the viewers come to understand what it takes to become a truly functioning, good human being. The entertainment story lines mirror the kinds of issues and situations that concern children in their middle years. The issues are examined in specific, unambiguous terms that young viewers can understand.",99,N/A,N/A,N/A
2005,WDWB,WB,DETROIT,4.5,ANALOG,LIBERTY'S KIDS,CORE,SYNDICATED,"THURS, FRI, SAT 7:00-7:30 AM",40,0,30,7,12,"Liberty's Kids is designed to enable young viewers to experience, in fresh and exciting ways, the extraordinary period of 1773 to 1789 in American History, as the 13 colonies, led by a group of courageous and brilliant individuals fought for freedom from Britain and established a new nation. It uses powerful storytelling to address its primary educational goals by helping young viewers understand the incredible sacrifices individuals made to help found these United States. Liberty's Kids also helps them to understand the importance of key philosophical, social and political issues at the heart of the American Rvolution. While based on historical events, Liberty's Kids touches on issues that are still current in modern America such as taxation, freedom of the press, race relations, the role of government and even the right to bear arms. Liberty's Kids is an exciting adventure in which today's kids can discover their real heroes and the events that gave birth to this nation.",99,N/A,N/A,N/A
2005,WDWB,WB,DETROIT,4.5,ANALOG,TEEN KIDS NEWS,CORE,SYNDICATED,SAT 7:30-8:00 AM,14,0,30,9,12,"Teen Kids News is a kid-to-kid newscast, created for and delivered by children. The young ""journalists"" range in age from 9 to 12 years old, and report on stories of interest and educational value to its own audience. The program was designed to provide information and news in a manner that is compelling and highly entertaining to appeal to the audience on its own level. The focus of Teen Kids News is young people, always letting them tell their stories in their own words. The news anchor team is large, diverse and has great appeal to kids who will identify with, and emulate them. Teen Kids News will insert the clear voice of young people into the adult-dominated media and provide a unique perspective to the news.",99,N/A,N/A,N/A
2005,WDWB,WB,DETROIT,4.5,ANALOG,WINX CLUB,CORE,SYNDICATED,SUN 8:30-9:00 AM,13,0,30,7,11,"The WINX Club follows an ordinary earth-girl named Bloom through the development of her magical fairy powers, adventures and confidence. As Bloom nurtures her relationships and magical talents among the smart and hip fairies at the Alfea School, she learns that there is no such thing as ordinary when you believe in yourself and your abilities. The fashionable contemporary and cool WINX Club fairies participate in traditional fairy-tale sequences, including good vs. evil, the known vs. the unknown, to address many of the current-day problems that youngsters face. In each episode, as a conflict arises, the fairies pool their unique capabilities to find a solution comprised of the sum total of their special talents. In this way, each fairy's individual contribution is valued and the whole becomes much greater than the sum of its parts. Life scenarios that commonly worry children - from feeling vulnerable and powerless to being lost or separated from loved ones, are enacted throughout the series and a variety of practical solutions are presented.",99,N/A,N/A,N/A
2005,WDWB,WB,DETROIT,4.5,ANALOG,MAGICAL DOREMI,CORE,SYNDICATED,SUN 8:00-8:30 AM,13,0,30,3,7,"Magical DoReMi encourages the development of fundamental social-emotional learning abilities in young children. Utilizing the backdrop of shared fantasy adventures, Dorie, Reanne and Mirabelle, are empowered by their unique talents and personal courage to explore the challenges of emerging friendships and group cooperation. The series chronicles the escapades of the imaginative witches-in-training as they increase their self confidence, accomplish successful magical endeavors and respond to age-appropriate humor. A significant educational purpose of this show is to inspire empathy and to support the social-emotional underpinning of tolerance and loyalty. Story lines are designed to reinforce the importance of kindness as well as provide opportunities for modeling understanding and compassion for those who look and behave differently, or are less fortunate. There are common pre-school and early school situations from feeling unpopular and vulnerable to being lost or experiencing an embarrassing failure in front of others - receive a variety of age appropriate solutions. Secondary educational concepts also include the introductions of music as a learning tool and multicultural means of communication.",99,N/A,N/A,N/A
2005,WDWB,WB,DETROIT,4.5,ANALOG,K.E.Y.S. KIDS,NON-CORE,LOCAL,SUN 5:30-6:00 AM,13,0,30,7,12,"KEYS kids is a locally produced educational and informational children's show. The letters of the program title stand for KIDS Enjoy Your Selves [K.E.Y.S.] Without Drugs. The show asks children and their families to look for alternatives to behaviors that can hurt them. Many programs cover fitness, self-esteem, the importance of education, financial empowerment, etc. KEYS Kids is designed to entertain and educate children using life-sized puppet characters to teach young people and their families about the importance of living a happy, healthy and drug free life - ever confident in who they are.",99,N/A,N/A,N/A
2005,WDWB,WB,DETROIT,4.5,ANALOG,AMERICAN ATHLETE,NON-CORE,SYNDICATED,FRI 5:30-6:00 AM,12,1,30,12,16,"American Athlete was developed to extend the educational and informational needs of teens through the celebration of athletics. Each week successful sports figures share messages of goods sportsmanship, the importance of higher education, goal setting, commitment, hard work, family support and using family members as role models. The show also touts teamwork and personal achievement for young people in all that they attempt.",N/A,N/A,N/A,N/A
2005,WLPC-LP,N/A,DETROIT,3,ANALOG,BUZZ AND PUPPY,CORE,NETWORK,SAT 8:30-9:00 AM,14,0,30,4,8,They're young! They're fun! They're bugs! This 3-D animated series stars boy and girl bugs and their family from New Zealand who capture the hearts and imaginations of children of all ages.,99,N/A,N/A,N/A
2005,WLPC-LP,N/A,DETROIT,3,ANALOG,"GINA D'S KIDS CLUB, THE",CORE,SYNDICATED,"MON 4:30-5:00 PM & SAT 8:00-8:30 AM, 10:30-11:00 AM",39,1,30,3,6,"The Gina D's Kids Club is an FCC friendly program targeting pre-school children ages 3 through 6. It is an attractive alternative to current programming because it is hosted by a positive adult female role model who connects with her young viewers in the same manner that children relate to a young teacher. Each show concludes with Gina writing a letter to her Grandmother to review the eduational highlights of the day's events at the clubhouse. The major premise of Gina D's Kids Club is establishing and reinforcing prositive values and behaviors through original songs and character performances that viewing children will choose to adopt and imitate. Note: Gina D's Kids Club wont he Communicator Awards Video Competition in 2002, The Award of Distinction for Creativity, Special Effects, and Animation. The competition included 3,200 entries from 48 states and 9 countries.",1,N/A,N/A,N/A
2005,WLPC-LP,N/A,DETROIT,3,ANALOG,CRITTER GITTERS,CORE,SYNDICATED,THURS 4:30-5:00 PM & SAT 9:30-10:00 AM,26,0,30,5,11,"The world's #1 ation animal adventure show, bringing fun, excitement, and education to kids of all ages.",99,N/A,N/A,N/A
2005,WLPC-LP,N/A,DETROIT,3,ANALOG,SWAMP CRITTERS OF THE LOST LAGOON,CORE,SYNDICATED,TUES 4:30-5:00 PM & SAT 9:00-9:30 AM,25,1,30,4,12,"The Swwamp Critters of the Lost Lagoon is a unique children's musical television series that deal with important issues such as pollution, running away from home and prejudice. Each episode teaches value-centered lessons in self-esteem and decision making and inroduces children to a variety of music styes including, Blues, Dixieland, Rock and Roll, Cajun, Jazz and Classical.",1,N/A,N/A,N/A
2005,WLPC-LP,N/A,DETROIT,3,ANALOG,THE STORY TELLER CAFÉ (THE REBEL),NON-CORE,NETWORK,11/19 10:00-10:30 AM,1,0,30,4,12,"When the lights are out and the door is locked, the toys come alive at the Storyteller Cafe! Join Pete the Pilot, Tex the Yo-yo, Tina the Elephant, and other animated characters as they perform ""The Rebel,"" an exciting message about Jonah and the Whale. It’s message shows how disobedience to God can have very serious consequences.",99,N/A,N/A,N/A
2005,WLPC-LP,N/A,DETROIT,3,ANALOG,ACQUIRE THE FIRE (ATF.TV),NON-CORE,SYNDICATED,FRI 4:30-5:00 PM & SAT 11:30-12:00 PM,26,1,30,13,18,"The ATF.tv show is designed to dig deep into the issues affecting today's generation by addressing topics relevant to their lives. A few topics addressed are The Drug Culture, The Party Scene, Teens & Alchohol and many others.",1,N/A,N/A,N/A
2005,WLPC-LP,N/A,DETROIT,3,ANALOG,THE STORY TELLER CAFÉ (THE STORM),NON-CORE,NETWORK,"10:00-10:30 AM 11/12, 12/31",2,0,30,4,12,"When the lights are out and the door is locked, the toys come alive at the Storyteller Cafe! Join Pete the Pilot, Tex the Yo-yo, Tina the Elephant, and other animated characters as they perform ""The Storm"" and learn about Noah and his courage to do what God said even when people laughed at him and that God always keeps His promises.",99,N/A,N/A,N/A
